index_items,product_name,category_name,sub_category,brand_name,sale_price,market_price,type_product,rating_product,price_segment
8467,Incense Sticks - Namo Bhakti Scented,Cleaning & Household,Pooja Needs,GIRI,50,50,Agarbatti Incense Sticks,4,Low
8468,Storewell Airtight Plastic Container - Transparent With Blue Lid,Kitchen Garden & Pets,Storage & Accessories,Laplast,439,799,Containers Sets,2.3,Medium
9635,Plastic Oil/Vinegar Bottle/Cruet - Green Bb-608,Kitchen Garden & Pets,Storage & Accessories,DP,289,389,Containers Sets,,Medium
9636,High Fiber & Protein Instant Five Grain Pancake Mix,Gourmet & World Food,Cooking & Baking Needs,Yellow Crumb,250.75,295,Flours & Pre-Mixes,4.6,Medium
9637,Zucchini - Green,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,50,62.5,Exotic Vegetables,,Low
9645,Green Apple Lip Balm,Beauty & Hygiene,Skin Care,Organic Harvest,199,199,Lip Care,3.7,Medium
9687,Air & Surface Disinfectant Spray,Beauty & Hygiene,Bath & Hand Wash,ZM LABS,1020,1360,Hand Wash & Sanitizers,5,High
9688,Berry Mix - Baked Nuts & Dried Fruits,Gourmet & World Food,Snacks Dry Fruits Nuts,Tong Garden,425,500,Healthy Baked Snacks,,Medium
9689,Luminous Oil Essential Rose Oil & Bamboo Extracts Shampoo,Beauty & Hygiene,Hair Care,Palmolive,139.3,199,Shampoo & Conditioner,3.4,Medium
9741,Kashmiri Bunch Saffron,Beauty & Hygiene,Health & Medicine,Vedapure,1649,1649,Ayurveda,,High
9742,Black Mustard/Sasive/Rai - Big,Foodgrains Oil & Masala,Masalas & Spices,bb Popular,17,20,Whole Spices,4.2,Low
9743,Pinda Taila,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,120,120,Ayurveda,,Medium
9794,Hatti Golden Latte - Immunity Booster,Gourmet & World Food,Drinks & Beverages,Hatti Kaapi,75,75,Health Drinks,3.5,Low
9796,Drink Mix - Badam,Beverages,Health Drink Supplement,MTR,120,120,Kids (5+Yrs),4.1,Medium
9797,Coffee Sprinkles - Autumn Spice,Foodgrains Oil & Masala,Masalas & Spices,Snapin,99,99,Herbs & Seasoning,3.2,Low
9798,Daily Treat - Navaratan Korma,Snacks & Branded Foods,Ready To Cook & Eat,Kitchens Of India,100,100,Heat & Eat Ready Meals,3.3,Medium
9799,Peanut Butter - Crunchy,Gourmet & World Food,Sauces Spreads & Dips,Rostaa,135,180,Chocolate Peanut Spread,4,Medium
9800,Mint Chocolate Bar,Gourmet & World Food,Chocolates & Biscuits,Rage,299,299,Luxury Chocolates Gifts,3.7,Medium
9801,Rajma/Capparadavare - Red,Foodgrains Oil & Masala,Dals & Pulses,bb Royal,149,200,Urad & Other Dals,4,Medium
9803,Organic - Jaggery/Bella,Foodgrains Oil & Masala,Organic Staples,bb Royal,77,109,Organic Sugar Jaggery,,Low
9848,Crafted Celebration Orange Tea Gift Hampers,Gourmet & World Food,Drinks & Beverages,TGL Co.,699.3,999,Gourmet Tea & Tea Bags,,High
9849,Round Mist Diffuser,Cleaning & Household,Fresheners & Repellents,Soulflower,3600,3600,Air Freshener,,High
9851,Slotted Turner - Nylon Silicon Handle Red,Kitchen Garden & Pets,Kitchen Accessories,H&B,159,299,Strainer Ladle Spatula,,Medium
9852,Luminosity - Anti Pigmentation Cream,Beauty & Hygiene,Skin Care,Organic Harvest,1060.2,1395,Face Care,3,High
9853,Breakfast Protein Variety Bar - Almond Coconut,Gourmet & World Food,Snacks Dry Fruits Nuts,Yoga bar,290,290,Cereal & Granola Bars,3.8,Medium
9854,Mach3 - Start Mens Razor Blades Cartridge,Beauty & Hygiene,Men's Grooming,Gillette,380,400,Shaving Care,4.1,Medium
9855,Dry Ginger Powder - Organic,Foodgrains Oil & Masala,Organic Staples,Organic Tattva,45,45,Organic Masalas & Spices,5,Low
